at,strategy,pair,direction,entry,stop_loss,tp1,rr,gate,detail,cost_share_pct
2026-08-30T16:16:12+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:20:31+00:00,FIBO,AAVEUSDT,LONG,125.33000000000001,123.66680000000001,128.48000000000002,1.8939393939393936,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.261
2026-08-30T16:20:50+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:25:37+00:00,FIBO,AAVEUSDT,LONG,125.33000000000001,123.66680000000001,128.48000000000002,1.8939393939393936,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.261
2026-08-30T16:26:01+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:31:27+00:00,FIBO,AAVEUSDT,LONG,125.33000000000001,123.66680000000001,128.48000000000002,1.8939393939393936,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.261
2026-08-30T16:32:00+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:36:13+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:40:38+00:00,FIBO,AAVEUSDT,LONG,125.33000000000001,123.66680000000001,128.48000000000002,1.8939393939393936,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.261
2026-08-30T16:41:16+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:46:25+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:50:54+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T16:55:50+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:00:44+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:05:45+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:10:48+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
2026-08-30T17:15:44+00:00,SMC,SOLUSDT,LONG,102.05,100.65878500000001,108.2643,5.471853739357379,предел издержек,вход слишком дорог: комиссии съедят 5.1% риска при пределе 5.0% — стоп стоит слишком тесно,5.131
